timesteps,ep_rew_mean,ep_len_mean
902,-183684.221241,901
903,-183684.221241,901
904,-183684.221241,901
905,-183684.221241,901
906,-183684.221241,901
907,-183684.221241,901
908,-183684.221241,901
909,-183684.221241,901
910,-183684.221241,901
911,-183684.221241,901
912,-183684.221241,901
913,-183684.221241,901
914,-183684.221241,901
915,-183684.221241,901
916,-183684.221241,901
917,-183684.221241,901
918,-183684.221241,901
919,-183684.221241,901
920,-183684.221241,901
921,-183684.221241,901
922,-183684.221241,901
923,-183684.221241,901
924,-183684.221241,901
925,-183684.221241,901
926,-183684.221241,901
927,-183684.221241,901
928,-183684.221241,901
929,-183684.221241,901
930,-183684.221241,901
931,-183684.221241,901
932,-183684.221241,901
933,-183684.221241,901
934,-183684.221241,901
935,-183684.221241,901
936,-183684.221241,901
937,-183684.221241,901
938,-183684.221241,901
939,-183684.221241,901
940,-183684.221241,901
941,-183684.221241,901
942,-183684.221241,901
943,-183684.221241,901
944,-183684.221241,901
945,-183684.221241,901
946,-183684.221241,901
947,-183684.221241,901
948,-183684.221241,901
949,-183684.221241,901
950,-183684.221241,901
951,-183684.221241,901
952,-183684.221241,901
953,-183684.221241,901
954,-183684.221241,901
955,-183684.221241,901
956,-183684.221241,901
957,-183684.221241,901
958,-183684.221241,901
959,-183684.221241,901
960,-183684.221241,901
961,-183684.221241,901
962,-183684.221241,901
963,-183684.221241,901
964,-183684.221241,901
965,-183684.221241,901
966,-183684.221241,901
967,-183684.221241,901
968,-183684.221241,901
969,-183684.221241,901
970,-183684.221241,901
971,-183684.221241,901
972,-183684.221241,901
973,-183684.221241,901
974,-183684.221241,901
975,-183684.221241,901
976,-183684.221241,901
977,-183684.221241,901
978,-183684.221241,901
979,-183684.221241,901
980,-183684.221241,901
981,-183684.221241,901
982,-183684.221241,901
983,-183684.221241,901
984,-183684.221241,901
985,-183684.221241,901
986,-183684.221241,901
987,-183684.221241,901
988,-183684.221241,901
989,-183684.221241,901
990,-183684.221241,901
991,-183684.221241,901
992,-183684.221241,901
993,-183684.221241,901
994,-183684.221241,901
995,-183684.221241,901
996,-183684.221241,901
997,-183684.221241,901
998,-183684.221241,901
999,-183684.221241,901
1000,-183684.221241,901
1001,-183684.221241,901
1002,-183684.221241,901
1003,-183684.221241,901
1004,-183684.221241,901
1005,-183684.221241,901
1006,-183684.221241,901
1007,-183684.221241,901
1008,-183684.221241,901
1009,-183684.221241,901
1010,-183684.221241,901
1011,-183684.221241,901
1012,-183684.221241,901
1013,-183684.221241,901
1014,-183684.221241,901
1015,-183684.221241,901
1016,-183684.221241,901
1017,-183684.221241,901
1018,-183684.221241,901
1019,-183684.221241,901
1020,-183684.221241,901
1021,-183684.221241,901
1022,-183684.221241,901
1023,-183684.221241,901
1024,-183684.221241,901
1025,-183684.221241,901
1026,-183684.221241,901
1027,-183684.221241,901
1028,-183684.221241,901
1029,-183684.221241,901
1030,-183684.221241,901
1031,-183684.221241,901
1032,-183684.221241,901
1033,-183684.221241,901
1034,-183684.221241,901
1035,-183684.221241,901
1036,-183684.221241,901
1037,-183684.221241,901
1038,-183684.221241,901
1039,-183684.221241,901
1040,-183684.221241,901
1041,-183684.221241,901
1042,-183684.221241,901
1043,-183684.221241,901
1044,-183684.221241,901
1045,-183684.221241,901
1046,-183684.221241,901
1047,-183684.221241,901
1048,-183684.221241,901
1049,-183684.221241,901
1050,-183684.221241,901
1051,-183684.221241,901
1052,-183684.221241,901
1053,-183684.221241,901
1054,-183684.221241,901
1055,-183684.221241,901
1056,-183684.221241,901
1057,-183684.221241,901
1058,-183684.221241,901
1059,-183684.221241,901
1060,-183684.221241,901
1061,-183684.221241,901
1062,-183684.221241,901
1063,-183684.221241,901
1064,-183684.221241,901
1065,-183684.221241,901
1066,-183684.221241,901
1067,-183684.221241,901
1068,-183684.221241,901
1069,-183684.221241,901
1070,-183684.221241,901
1071,-183684.221241,901
1072,-183684.221241,901
1073,-183684.221241,901
1074,-183684.221241,901
1075,-183684.221241,901
1076,-183684.221241,901
1077,-183684.221241,901
1078,-183684.221241,901
1079,-183684.221241,901
1080,-183684.221241,901
1081,-183684.221241,901
1082,-183684.221241,901
1083,-183684.221241,901
1084,-183684.221241,901
1085,-183684.221241,901
1086,-183684.221241,901
1087,-183684.221241,901
1088,-183684.221241,901
1089,-183684.221241,901
1090,-183684.221241,901
1091,-183684.221241,901
1092,-183684.221241,901
1093,-183684.221241,901
1094,-183684.221241,901
1095,-183684.221241,901
1096,-183684.221241,901
1097,-183684.221241,901
1098,-183684.221241,901
1099,-183684.221241,901
1100,-183684.221241,901
1101,-183684.221241,901
1102,-183684.221241,901
1103,-183684.221241,901
1104,-183684.221241,901
1105,-183684.221241,901
1106,-183684.221241,901
1107,-183684.221241,901
1108,-183684.221241,901
1109,-183684.221241,901
1110,-183684.221241,901
1111,-183684.221241,901
1112,-183684.221241,901
1113,-183684.221241,901
1114,-183684.221241,901
1115,-183684.221241,901
1116,-183684.221241,901
1117,-183684.221241,901
1118,-183684.221241,901
1119,-183684.221241,901
1120,-183684.221241,901
1121,-183684.221241,901
1122,-183684.221241,901
1123,-183684.221241,901
1124,-183684.221241,901
1125,-183684.221241,901
1126,-183684.221241,901
1127,-183684.221241,901
1128,-183684.221241,901
1129,-183684.221241,901
1130,-183684.221241,901
1131,-183684.221241,901
1132,-183684.221241,901
1133,-183684.221241,901
1134,-183684.221241,901
1135,-183684.221241,901
1136,-183684.221241,901
1137,-183684.221241,901
1138,-183684.221241,901
1139,-183684.221241,901
1140,-183684.221241,901
1141,-183684.221241,901
1142,-183684.221241,901
1143,-183684.221241,901
1144,-183684.221241,901
1145,-183684.221241,901
1146,-183684.221241,901
1147,-183684.221241,901
1148,-183684.221241,901
1149,-183684.221241,901
1150,-183684.221241,901
1151,-183684.221241,901
1152,-183684.221241,901
1153,-183684.221241,901
1154,-183684.221241,901
1155,-183684.221241,901
1156,-183684.221241,901
1157,-183684.221241,901
1158,-183684.221241,901
1159,-183684.221241,901
1160,-183684.221241,901
1161,-183684.221241,901
1162,-183684.221241,901
1163,-183684.221241,901
1164,-183684.221241,901
1165,-183684.221241,901
1166,-183684.221241,901
1167,-183684.221241,901
1168,-183684.221241,901
1169,-183684.221241,901
1170,-183684.221241,901
1171,-183684.221241,901
1172,-183684.221241,901
1173,-183684.221241,901
1174,-183684.221241,901
1175,-183684.221241,901
1176,-183684.221241,901
1177,-183684.221241,901
1178,-183684.221241,901
1179,-183684.221241,901
1180,-183684.221241,901
1181,-183684.221241,901
1182,-183684.221241,901
1183,-183684.221241,901
1184,-183684.221241,901
1185,-183684.221241,901
1186,-183684.221241,901
1187,-183684.221241,901
1188,-183684.221241,901
1189,-183684.221241,901
1190,-183684.221241,901
1191,-183684.221241,901
1192,-183684.221241,901
1193,-183684.221241,901
1194,-183684.221241,901
1195,-183684.221241,901
1196,-183684.221241,901
1197,-183684.221241,901
1198,-183684.221241,901
1199,-183684.221241,901
1200,-183684.221241,901
1201,-183684.221241,901
1202,-183684.221241,901
1203,-183684.221241,901
1204,-183684.221241,901
1205,-183684.221241,901
1206,-183684.221241,901
1207,-183684.221241,901
1208,-183684.221241,901
1209,-183684.221241,901
1210,-183684.221241,901
1211,-183684.221241,901
1212,-183684.221241,901
1213,-183684.221241,901
1214,-183684.221241,901
1215,-183684.221241,901
1216,-183684.221241,901
1217,-183684.221241,901
1218,-183684.221241,901
1219,-183684.221241,901
1220,-183684.221241,901
1221,-183684.221241,901
1222,-183684.221241,901
1223,-183684.221241,901
1224,-183684.221241,901
1225,-183684.221241,901
1226,-183684.221241,901
1227,-183684.221241,901
1228,-183684.221241,901
1229,-183684.221241,901
1230,-183684.221241,901
1231,-183684.221241,901
1232,-183684.221241,901
1233,-183684.221241,901
1234,-183684.221241,901
1235,-183684.221241,901
1236,-183684.221241,901
1237,-183684.221241,901
1238,-183684.221241,901
1239,-183684.221241,901
1240,-183684.221241,901
1241,-183684.221241,901
1242,-183684.221241,901
1243,-183684.221241,901
1244,-183684.221241,901
1245,-183684.221241,901
1246,-183684.221241,901
1247,-183684.221241,901
1248,-183684.221241,901
1249,-183684.221241,901
1250,-183684.221241,901
1251,-183684.221241,901
1252,-183684.221241,901
1253,-183684.221241,901
1254,-183684.221241,901
1255,-183684.221241,901
1256,-183684.221241,901
1257,-183684.221241,901
1258,-183684.221241,901
1259,-183684.221241,901
1260,-183684.221241,901
1261,-183684.221241,901
1262,-183684.221241,901
1263,-183684.221241,901
1264,-183684.221241,901
1265,-183684.221241,901
1266,-183684.221241,901
1267,-183684.221241,901
1268,-183684.221241,901
1269,-183684.221241,901
1270,-183684.221241,901
1271,-183684.221241,901
1272,-183684.221241,901
1273,-183684.221241,901
1274,-183684.221241,901
1275,-183684.221241,901
1276,-183684.221241,901
1277,-183684.221241,901
1278,-183684.221241,901
1279,-183684.221241,901
1280,-183684.221241,901
1281,-183684.221241,901
1282,-183684.221241,901
1283,-183684.221241,901
1284,-183684.221241,901
1285,-183684.221241,901
1286,-183684.221241,901
1287,-183684.221241,901
1288,-183684.221241,901
1289,-183684.221241,901
1290,-183684.221241,901
1291,-183684.221241,901
1292,-183684.221241,901
1293,-183684.221241,901
1294,-183684.221241,901
1295,-183684.221241,901
1296,-183684.221241,901
1297,-183684.221241,901
1298,-183684.221241,901
1299,-183684.221241,901
1300,-183684.221241,901
1301,-183684.221241,901
1302,-183684.221241,901
1303,-183684.221241,901
1304,-183684.221241,901
1305,-183684.221241,901
1306,-183684.221241,901
1307,-183684.221241,901
1308,-183684.221241,901
1309,-183684.221241,901
1310,-183684.221241,901
1311,-183684.221241,901
1312,-183684.221241,901
1313,-183684.221241,901
1314,-183684.221241,901
1315,-183684.221241,901
1316,-183684.221241,901
1317,-183684.221241,901
1318,-183684.221241,901
1319,-183684.221241,901
1320,-183684.221241,901
1321,-183684.221241,901
1322,-183684.221241,901
1323,-183684.221241,901
1324,-183684.221241,901
1325,-183684.221241,901
1326,-183684.221241,901
1327,-183684.221241,901
1328,-183684.221241,901
1329,-183684.221241,901
1330,-183684.221241,901
1331,-183684.221241,901
1332,-183684.221241,901
1333,-183684.221241,901
1334,-183684.221241,901
1335,-183684.221241,901
1336,-183684.221241,901
1337,-183684.221241,901
1338,-183684.221241,901
1339,-183684.221241,901
1340,-183684.221241,901
1341,-183684.221241,901
1342,-183684.221241,901
1343,-183684.221241,901
1344,-183684.221241,901
1345,-183684.221241,901
1346,-183684.221241,901
1347,-183684.221241,901
1348,-183684.221241,901
1349,-183684.221241,901
1350,-183684.221241,901
1351,-183684.221241,901
1352,-183684.221241,901
1353,-183684.221241,901
1354,-183684.221241,901
1355,-183684.221241,901
1356,-183684.221241,901
1357,-183684.221241,901
1358,-183684.221241,901
1359,-183684.221241,901
1360,-183684.221241,901
1361,-183684.221241,901
1362,-183684.221241,901
1363,-183684.221241,901
1364,-183684.221241,901
1365,-183684.221241,901
1366,-183684.221241,901
1367,-183684.221241,901
1368,-183684.221241,901
1369,-183684.221241,901
1370,-183684.221241,901
1371,-183684.221241,901
1372,-183684.221241,901
1373,-183684.221241,901
1374,-183684.221241,901
1375,-183684.221241,901
1376,-183684.221241,901
1377,-183684.221241,901
1378,-183684.221241,901
1379,-183684.221241,901
1380,-183684.221241,901
1381,-183684.221241,901
1382,-183684.221241,901
1383,-183684.221241,901
1384,-183684.221241,901
1385,-183684.221241,901
1386,-183684.221241,901
1387,-183684.221241,901
1388,-183684.221241,901
1389,-183684.221241,901
1390,-183684.221241,901
1391,-183684.221241,901
1392,-183684.221241,901
1393,-183684.221241,901
1394,-183684.221241,901
1395,-183684.221241,901
1396,-183684.221241,901
1397,-183684.221241,901
1398,-183684.221241,901
1399,-183684.221241,901
1400,-183684.221241,901
1401,-183684.221241,901
1402,-183684.221241,901
1403,-183684.221241,901
1404,-183684.221241,901
1405,-183684.221241,901
1406,-183684.221241,901
1407,-183684.221241,901
1408,-183684.221241,901
1409,-183684.221241,901
1410,-183684.221241,901
1411,-183684.221241,901
1412,-183684.221241,901
1413,-183684.221241,901
1414,-183684.221241,901
1415,-183684.221241,901
1416,-183684.221241,901
1417,-183684.221241,901
1418,-183684.221241,901
1419,-183684.221241,901
1420,-183684.221241,901
1421,-183684.221241,901
1422,-183684.221241,901
1423,-183684.221241,901
1424,-183684.221241,901
1425,-183684.221241,901
1426,-183684.221241,901
1427,-183684.221241,901
1428,-183684.221241,901
1429,-183684.221241,901
1430,-183684.221241,901
1431,-183684.221241,901
1432,-183684.221241,901
1433,-183684.221241,901
1434,-183684.221241,901
1435,-183684.221241,901
1436,-183684.221241,901
1437,-183684.221241,901
1438,-183684.221241,901
1439,-183684.221241,901
1440,-183684.221241,901
1441,-183684.221241,901
1442,-183684.221241,901
1443,-183684.221241,901
1444,-183684.221241,901
1445,-183684.221241,901
1446,-183684.221241,901
1447,-183684.221241,901
1448,-183684.221241,901
1449,-183684.221241,901
1450,-183684.221241,901
1451,-183684.221241,901
1452,-183684.221241,901
1453,-183684.221241,901
1454,-183684.221241,901
1455,-183684.221241,901
1456,-183684.221241,901
1457,-183684.221241,901
1458,-183684.221241,901
1459,-183684.221241,901
1460,-183684.221241,901
1461,-183684.221241,901
1462,-183684.221241,901
1463,-183684.221241,901
1464,-183684.221241,901
1465,-183684.221241,901
1466,-183684.221241,901
1467,-183684.221241,901
1468,-183684.221241,901
1469,-183684.221241,901
1470,-183684.221241,901
1471,-183684.221241,901
1472,-183684.221241,901
1473,-183684.221241,901
1474,-183684.221241,901
1475,-183684.221241,901
1476,-183684.221241,901
1477,-183684.221241,901
1478,-183684.221241,901
1479,-183684.221241,901
1480,-183684.221241,901
1481,-183684.221241,901
1482,-183684.221241,901
1483,-183684.221241,901
1484,-183684.221241,901
1485,-183684.221241,901
1486,-183684.221241,901
1487,-183684.221241,901
1488,-183684.221241,901
1489,-183684.221241,901
1490,-183684.221241,901
1491,-183684.221241,901
1492,-183684.221241,901
1493,-183684.221241,901
1494,-183684.221241,901
1495,-183684.221241,901
1496,-183684.221241,901
1497,-183684.221241,901
1498,-183684.221241,901
1499,-183684.221241,901
1500,-183684.221241,901
1501,-183684.221241,901
1502,-183684.221241,901
1503,-183684.221241,901
1504,-183684.221241,901
1505,-183684.221241,901
1506,-183684.221241,901
1507,-183684.221241,901
1508,-183684.221241,901
1509,-183684.221241,901
1510,-183684.221241,901
1511,-183684.221241,901
1512,-183684.221241,901
1513,-183684.221241,901
1514,-183684.221241,901
1515,-183684.221241,901
1516,-183684.221241,901
1517,-183684.221241,901
1518,-183684.221241,901
1519,-183684.221241,901
1520,-183684.221241,901
1521,-183684.221241,901
1522,-183684.221241,901
1523,-183684.221241,901
1524,-183684.221241,901
1525,-183684.221241,901
1526,-183684.221241,901
1527,-183684.221241,901
1528,-183684.221241,901
1529,-183684.221241,901
1530,-183684.221241,901
1531,-183684.221241,901
1532,-183684.221241,901
1533,-183684.221241,901
1534,-183684.221241,901
1535,-183684.221241,901
1536,-183684.221241,901
1537,-183684.221241,901
1538,-183684.221241,901
1539,-183684.221241,901
1540,-183684.221241,901
1541,-183684.221241,901
1542,-183684.221241,901
1543,-183684.221241,901
1544,-183684.221241,901
1545,-183684.221241,901
1546,-183684.221241,901
1547,-183684.221241,901
1548,-183684.221241,901
1549,-183684.221241,901
1550,-183684.221241,901
1551,-183684.221241,901
1552,-183684.221241,901
1553,-183684.221241,901
1554,-183684.221241,901
1555,-183684.221241,901
1556,-183684.221241,901
1557,-183684.221241,901
1558,-183684.221241,901
1559,-183684.221241,901
1560,-183684.221241,901
1561,-183684.221241,901
1562,-183684.221241,901
1563,-183684.221241,901
1564,-183684.221241,901
1565,-183684.221241,901
1566,-183684.221241,901
1567,-183684.221241,901
1568,-183684.221241,901
1569,-183684.221241,901
1570,-183684.221241,901
1571,-183684.221241,901
1572,-183684.221241,901
1573,-183684.221241,901
1574,-183684.221241,901
1575,-183684.221241,901
1576,-183684.221241,901
1577,-183684.221241,901
1578,-183684.221241,901
1579,-183684.221241,901
1580,-183684.221241,901
1581,-183684.221241,901
1582,-183684.221241,901
1583,-183684.221241,901
1584,-183684.221241,901
1585,-183684.221241,901
1586,-183684.221241,901
1587,-183684.221241,901
1588,-183684.221241,901
1589,-183684.221241,901
1590,-183684.221241,901
1591,-183684.221241,901
1592,-183684.221241,901
1593,-183684.221241,901
1594,-183684.221241,901
1595,-183684.221241,901
1596,-183684.221241,901
1597,-183684.221241,901
1598,-183684.221241,901
1599,-183684.221241,901
1600,-183684.221241,901
1601,-183684.221241,901
1602,-183684.221241,901
1603,-183684.221241,901
1604,-183684.221241,901
1605,-183684.221241,901
1606,-183684.221241,901
1607,-183684.221241,901
1608,-183684.221241,901
1609,-183684.221241,901
1610,-183684.221241,901
1611,-183684.221241,901
1612,-183684.221241,901
1613,-183684.221241,901
1614,-183684.221241,901
1615,-183684.221241,901
1616,-183684.221241,901
1617,-183684.221241,901
1618,-183684.221241,901
1619,-183684.221241,901
1620,-183684.221241,901
1621,-183684.221241,901
1622,-183684.221241,901
1623,-183684.221241,901
1624,-183684.221241,901
1625,-183684.221241,901
1626,-183684.221241,901
1627,-183684.221241,901
1628,-183684.221241,901
1629,-183684.221241,901
1630,-183684.221241,901
1631,-183684.221241,901
1632,-183684.221241,901
1633,-183684.221241,901
1634,-183684.221241,901
1635,-183684.221241,901
1636,-183684.221241,901
1637,-183684.221241,901
1638,-183684.221241,901
1639,-183684.221241,901
1640,-183684.221241,901
1641,-183684.221241,901
1642,-183684.221241,901
1643,-183684.221241,901
1644,-183684.221241,901
1645,-183684.221241,901
1646,-183684.221241,901
1647,-183684.221241,901
1648,-183684.221241,901
1649,-183684.221241,901
1650,-183684.221241,901
1651,-183684.221241,901
1652,-183684.221241,901
1653,-183684.221241,901
1654,-183684.221241,901
1655,-183684.221241,901
1656,-183684.221241,901
1657,-183684.221241,901
1658,-183684.221241,901
1659,-183684.221241,901
1660,-183684.221241,901
1661,-183684.221241,901
1662,-183684.221241,901
1663,-183684.221241,901
1664,-183684.221241,901
1665,-183684.221241,901
1666,-183684.221241,901
1667,-183684.221241,901
1668,-183684.221241,901
1669,-183684.221241,901
1670,-183684.221241,901
1671,-183684.221241,901
1672,-183684.221241,901
1673,-183684.221241,901
1674,-183684.221241,901
1675,-183684.221241,901
1676,-183684.221241,901
1677,-183684.221241,901
1678,-183684.221241,901
1679,-183684.221241,901
1680,-183684.221241,901
1681,-183684.221241,901
1682,-183684.221241,901
1683,-183684.221241,901
1684,-183684.221241,901
1685,-183684.221241,901
1686,-183684.221241,901
1687,-183684.221241,901
1688,-183684.221241,901
1689,-183684.221241,901
1690,-183684.221241,901
1691,-183684.221241,901
1692,-183684.221241,901
1693,-183684.221241,901
1694,-183684.221241,901
1695,-183684.221241,901
1696,-183684.221241,901
1697,-183684.221241,901
1698,-183684.221241,901
1699,-183684.221241,901
1700,-183684.221241,901
1701,-183684.221241,901
1702,-183684.221241,901
1703,-183684.221241,901
1704,-183684.221241,901
1705,-183684.221241,901
1706,-183684.221241,901
1707,-183684.221241,901
1708,-183684.221241,901
1709,-183684.221241,901
1710,-183684.221241,901
1711,-183684.221241,901
1712,-183684.221241,901
1713,-183684.221241,901
1714,-183684.221241,901
1715,-183684.221241,901
1716,-183684.221241,901
1717,-183684.221241,901
1718,-183684.221241,901
1719,-183684.221241,901
1720,-183684.221241,901
1721,-183684.221241,901
1722,-183684.221241,901
1723,-183684.221241,901
1724,-183684.221241,901
1725,-183684.221241,901
1726,-183684.221241,901
1727,-183684.221241,901
1728,-183684.221241,901
1729,-183684.221241,901
1730,-183684.221241,901
1731,-183684.221241,901
1732,-183684.221241,901
1733,-183684.221241,901
1734,-183684.221241,901
1735,-183684.221241,901
1736,-183684.221241,901
1737,-183684.221241,901
1738,-183684.221241,901
1739,-183684.221241,901
1740,-183684.221241,901
1741,-183684.221241,901
1742,-183684.221241,901
1743,-183684.221241,901
1744,-183684.221241,901
1745,-183684.221241,901
1746,-183684.221241,901
1747,-183684.221241,901
1748,-183684.221241,901
1749,-183684.221241,901
1750,-183684.221241,901
1751,-183684.221241,901
1752,-183684.221241,901
1753,-183684.221241,901
1754,-183684.221241,901
1755,-183684.221241,901
1756,-183684.221241,901
1757,-183684.221241,901
1758,-183684.221241,901
1759,-183684.221241,901
1760,-183684.221241,901
1761,-183684.221241,901
1762,-183684.221241,901
1763,-183684.221241,901
1764,-183684.221241,901
1765,-183684.221241,901
1766,-183684.221241,901
1767,-183684.221241,901
1768,-183684.221241,901
1769,-183684.221241,901
1770,-183684.221241,901
1771,-183684.221241,901
1772,-183684.221241,901
1773,-183684.221241,901
1774,-183684.221241,901
1775,-183684.221241,901
1776,-183684.221241,901
1777,-183684.221241,901
1778,-183684.221241,901
1779,-183684.221241,901
1780,-183684.221241,901
1781,-183684.221241,901
1782,-183684.221241,901
1783,-183684.221241,901
1784,-183684.221241,901
1785,-183684.221241,901
1786,-183684.221241,901
1787,-183684.221241,901
1788,-183684.221241,901
1789,-183684.221241,901
1790,-183684.221241,901
1791,-183684.221241,901
1792,-183684.221241,901
1793,-183684.221241,901
1794,-183684.221241,901
1795,-183684.221241,901
1796,-183684.221241,901
1797,-183684.221241,901
1798,-183684.221241,901
1799,-183684.221241,901
1800,-183684.221241,901
1801,-183684.221241,901
1802,-183684.221241,901
1803,-256724.755072,901
1804,-256724.755072,901
1805,-256724.755072,901
1806,-256724.755072,901
1807,-256724.755072,901
1808,-256724.755072,901
1809,-256724.755072,901
1810,-256724.755072,901
1811,-256724.755072,901
1812,-256724.755072,901
1813,-256724.755072,901
1814,-256724.755072,901
1815,-256724.755072,901
1816,-256724.755072,901
1817,-256724.755072,901
1818,-256724.755072,901
1819,-256724.755072,901
1820,-256724.755072,901
1821,-256724.755072,901
1822,-256724.755072,901
1823,-256724.755072,901
1824,-256724.755072,901
1825,-256724.755072,901
1826,-256724.755072,901
1827,-256724.755072,901
1828,-256724.755072,901
1829,-256724.755072,901
1830,-256724.755072,901
1831,-256724.755072,901
1832,-256724.755072,901
1833,-256724.755072,901
1834,-256724.755072,901
1835,-256724.755072,901
1836,-256724.755072,901
1837,-256724.755072,901
1838,-256724.755072,901
1839,-256724.755072,901
1840,-256724.755072,901
1841,-256724.755072,901
1842,-256724.755072,901
1843,-256724.755072,901
1844,-256724.755072,901
1845,-256724.755072,901
1846,-256724.755072,901
1847,-256724.755072,901
1848,-256724.755072,901
1849,-256724.755072,901
1850,-256724.755072,901
1851,-256724.755072,901
1852,-256724.755072,901
1853,-256724.755072,901
1854,-256724.755072,901
1855,-256724.755072,901
1856,-256724.755072,901
1857,-256724.755072,901
1858,-256724.755072,901
1859,-256724.755072,901
1860,-256724.755072,901
1861,-256724.755072,901
1862,-256724.755072,901
1863,-256724.755072,901
1864,-256724.755072,901
1865,-256724.755072,901
1866,-256724.755072,901
1867,-256724.755072,901
1868,-256724.755072,901
1869,-256724.755072,901
1870,-256724.755072,901
1871,-256724.755072,901
1872,-256724.755072,901
1873,-256724.755072,901
1874,-256724.755072,901
1875,-256724.755072,901
1876,-256724.755072,901
1877,-256724.755072,901
1878,-256724.755072,901
1879,-256724.755072,901
1880,-256724.755072,901
1881,-256724.755072,901
1882,-256724.755072,901
1883,-256724.755072,901
1884,-256724.755072,901
1885,-256724.755072,901
1886,-256724.755072,901
1887,-256724.755072,901
1888,-256724.755072,901
1889,-256724.755072,901
1890,-256724.755072,901
1891,-256724.755072,901
1892,-256724.755072,901
1893,-256724.755072,901
1894,-256724.755072,901
1895,-256724.755072,901
1896,-256724.755072,901
1897,-256724.755072,901
1898,-256724.755072,901
1899,-256724.755072,901
1900,-256724.755072,901
1901,-256724.755072,901
